Fullname          , RA      , DEC     , PMra      , PMdec     , PMCorr , Vlos   , plx                  , Rgc    , cosphi             , sinphi            , ePMra    , ePMdec   , eVlos , eRgc   , Xgc               , Ygc                , Zgc
Aquarius II       , 338.481 , -9.327  , -0.000252 , 1.1e-05   , 0.131  , -71.1  , 9.2678405931418e-06  , 105.16 , -0.81885160809534  , 0.57400526471425  , 0.00053  , 0.000452 , 2.5   , 10.516 , 28.6078226303681  , 53.1527144177968   , -86.1104351073059
Bootes I          , 210.015 , 14.512  , -0.000554 , -0.001111 , 0.163  , 102.2  , 1.51515151515152e-05 , 63.61  , 0.971961000578546  , 0.23514211310259  , 9.8e-05  , 7.6e-05  , 0.8   , 6.361  , 14.9377027973174  , -0.767166996553522 , 61.8264392468013
Bootes II         , 209.521 , 12.859  , -0.002686 , -0.00053  , -0.186 , -117.1 , 2.38095238095238e-05 , 39.79  , 0.983665855586644  , 0.180004123711086 , 0.000393 , 0.000292 , 7.6   , 3.979  , 6.97026140419155  , -1.64769997481639  , 39.1400643937926
Canes Venatici I  , 202.016 , 33.559  , -0.000159 , -6.7e-05  , 0.105  , 30.9   , 4.76190476190476e-06 , 209.81 , 0.985318641924622  , 0.170725434179618 , 1e-04    , 6.4e-05  , 0.6   , 20.981 , 2.46748658197167  , 35.7348147557686   , 206.729704262205
Canes Venatici II , 194.292 , 34.321  , -0.000342 , -0.000473 , -0.006 , -128.9 , 6.25e-06             , 160.92 , 0.988361510467761  , 0.152123386189917 , 0.000238 , 0.000178 , 1.2   , 16.092 , -15.8560144786056 , 18.6505304780655   , 159.047134264472
Carina I          , 100.407 , -50.966 , 0.000485  , 0.000131  , 0.083  , 222.9  , 9.46969696969697e-06 , 106.92 , -0.371691915613374 , 0.928356138487628 , 3.8e-05  , 3.8e-05  , 0.1   , 10.692 , -25.0706544145637 , -96.0415420115014  , -39.741299617382
Carina II         , 114.107 , -57.999 , 0.001867  , 8.2e-05   , -0.008 , 477.2  , 2.67379679144385e-05 , 38.3   , -0.287193343911962 , 0.957872634128706 , 8.5e-05  , 8e-05    , 1.2   , 3.83   , -8.25267177871904 , -35.7462487079073  , -10.9995050718282
Carina III        , 114.63  , -57.9   , 0.003046  , 0.001565  , 0.066  , 284.6  , 3.59712230215827e-05 , 28.98  , -0.27714696148324  , 0.960827540061487 , 0.000132 , 0.000147 , 3.25  , 2.898  , -8.22464073717086 , -26.6023904104974  , -8.03171894378429
Coma Berenices I  , 186.746 , 23.908  , 0.000471  , -0.001716 , -0.427 , 98.1   , 2.38095238095238e-05 , 43.18  , 0.966555356360983  , 0.256458072771933 , 0.000113 , 0.00011  , 0.9   , 4.318  , -10.2804855199709 , -4.11606408137566  , 41.7358602876672
Crater II         , 177.31  , -18.413 , -0.000184 , -0.000106 , -0.185 , 87.5   , 8.51063829787234e-06 , 116.43 , 0.67546151815621   , 0.737395238315321 , 7e-05    , 6.8e-05  , 0.4   , 11.643 , 11.5479208671216  , -85.0747560463259  , 78.6439845589275
Draco I           , 260.06  , 57.965  , -1.2e-05  , -0.000158 , 0.131  , -291   , 1.31578947368421e-05 , 75.85  , 0.569423005963909  , 0.822044670488791 , 1.3e-05  , 3.8e-05  , 0.1   , 7.585  , -4.18660734074399 , 62.2113753981547   , 43.1907350023625
Draco II          , 238.198 , 64.565  , 0.001242  , 0.000845  , -0.591 , -347.6 , 5e-05                , 22.35  , 0.608207415585458  , 0.793778142573136 , 0.000282 , 0.000291 , 1.75  , 2.235  , -10.2845638060068 , 14.4557515248406   , 13.593435738335
Fornax            , 39.962  , -34.511 , 0.000374  , -0.000401 , -0.46  , 55.3   , 6.80272108843538e-06 , 149.5  , -0.897873953312317 , 0.440252613806337 , 3.5e-05  , 3.5e-05  , 0.1   , 14.95  , -41.4740035336711 , -51.1066074109802  , -134.232156020191
Grus I            , 344.176 , -50.163 , -0.000261 , -0.000437 , 0.247  , -140.5 , 8.31946755407654e-06 , 116.33 , -0.879316310190556 , 0.476238203667939 , 0.000178 , 0.000242 , 2     , 11.633 , 50.4085629422939  , -22.9831316512667  , -102.290866364467
Hercules          , 247.763 , 12.787  , -0.000297 , -0.000329 , 0.136  , 45.2   , 7.57575757575758e-06 , 126.3  , 0.62456136433787   , 0.780975737252073 , 0.000123 , 1e-04    , 1.09  , 12.63  , 84.5929138503646  , 50.7281300272478   , 78.8821003158729
Horologium I      , 43.882  , -54.119 , 0.000891  , -0.00055  , 0.294  , 112.8  , 1.26582278481013e-05 , 79.36  , -0.812999149038503 , 0.582264874144637 , 0.000105 , 9.9e-05  , 2.55  , 7.936  , -7.30028992577092 , -45.6282256286398  , -64.5196124676956
Hydra II          , 185.425 , -31.985 , -0.000416 , 0.000134  , -0.427 , 303.1  , 6.62251655629139e-06 , 148.32 , 0.515785898285048  , 0.85671751886505  , 0.000523 , 0.000426 , 1.4   , 14.832 , 48.3809696688383  , -117.497427264152  , 76.5013644336383
Hydrus I          , 37.389  , -79.309 , 0.003733  , -0.001605 , 0.264  , 80.4   , 3.6231884057971e-05  , 25.71  , -0.641985057520502 , 0.766717148575925 , 5.2e-05  , 5e-05    , 0.6   , 2.571  , 1.92700718484131  , -19.6178829492179  , -16.5054358288521
Leo I             , 152.122 , 12.313  , -8.6e-05  , -0.000128 , -0.358 , 282.5  , 3.87296669248645e-06 , 261.9  , 0.746522066314302  , 0.665360657467681 , 6.9e-05  , 7.1e-05  , 0.1   , 26.19  , -124.969776460251 , -121.442950669295  , 195.514129167716
Leo II            , 168.37  , 22.152  , -2.5e-05  , -0.000173 , -0.401 , 78.5   , 4.29184549356223e-06 , 235.15 , 0.913047853423035  , 0.407852445572645 , 8.7e-05  , 9e-05    , 0.6   , 23.515 , -76.3316350235161 , -58.0649526915778  , 214.703202732427
Leo IV            , 173.233 , -0.54   , -0.00059  , -0.000449 , -0.237 , 132.3  , 6.49350649350649e-06 , 154.66 , 0.831081548518267  , 0.556150572877957 , 0.000534 , 0.000362 , 1.4   , 15.466 , -14.5664701552281 , -84.7718628887876  , 128.535072293835
Leo V             , 172.784 , 2.222   , -9.7e-05  , -0.000628 , 0.047  , 172.1  , 5.78034682080925e-06 , 173.96 , 0.849432513747908  , 0.527697266041724 , 0.00056  , 0.000307 , 2.2   , 17.396 , -20.5564272211237 , -89.4670097535253  , 147.767280091586
Pisces II         , 344.634 , 5.955   , -0.000108 , -0.000586 , 0.053  , -226.5 , 5.46448087431694e-06 , 181.83 , -0.736333316555309 , 0.676618982094546 , 0.000647 , 0.000502 , 2.7   , 18.183 , 14.6737991506711  , 122.151419790765   , -133.887486949252
Reticulum II      , 53.949  , -54.047 , 0.002398  , -0.001319 , 0.166  , 64.8   , 3.18471337579618e-05 , 32.76  , -0.729923724600702 , 0.683528606764223 , 5.3e-05  , 5.9e-05  , 0.5   , 3.276  , -9.57663311220096 , -20.2412338729092  , -23.912301217919
Sagittarius I     , 283.831 , -30.545 , -0.002736 , -0.001357 , 0.114  , 140    , 3.84615384615385e-05 , 18.27  , -0.352005016253951 , 0.93599811353018  , 3.6e-05  , 3.6e-05  , 2     , 1.827  , 16.9241451694868  , 2.4508684219294    , -6.43113164695968
Sculptor          , 15.039  , -33.709 , 8.4e-05   , -0.000133 , 0.157  , 111.4  , 1.19189511323004e-05 , 83.97  , -0.991422065155214 , 0.130699230002975 , 3.6e-05  , 3.56e-05 , 0.1   , 8.397  , -5.44422091330262 , -9.52927114307045  , -83.2497108110833
Segue 1           , 151.763 , 16.074  , -0.001697 , -0.003501 , -0.087 , 208.5  , 4.34782608695652e-05 , 27.88  , 0.637020462599923  , 0.770846891560821 , 0.000198 , 0.000178 , 0.9   , 2.788  , -19.2765403280914 , -9.50195546710469  , 17.7601304972859
Segue 2           , 34.817  , 20.175  , 0.001656  , 0.000135  , 0.234  , -40.2  , 2.73224043715847e-05 , 42.45  , -0.528141955509954 , 0.849156095679776 , 0.000161 , 0.000113 , 0.9   , 4.245  , -32.9634584678694 , 14.5867499925828   , -22.4196260113976
Sextans           , 153.268 , -1.62   , -0.000438 , 5.5e-05   , -0.238 , 224.2  , 1.08108108108108e-05 , 95.52  , 0.652627522488541  , 0.757678900914146 , 4.5e-05  , 4.5e-05  , 0.1   , 9.552  , -38.544735276559  , -61.2554098575116  , 62.3389809481054
Triangulum II     , 33.322  , 36.172  , 0.000588  , 0.000554  , 0.032  , -381.7 , 3.52112676056338e-05 , 34.73  , -0.328207267567788 , 0.944605732311469 , 0.000194 , 0.000169 , 1.1   , 3.473  , -28.4138278791162 , 16.3981196428756   , -11.3986384026293
Tucana II         , 343.06  , -58.57  , 0.00091   , -0.001159 , -0.374 , -129.1 , 1.73913043478261e-05 , 54     , -0.848602561216479 , 0.529030899945203 , 6.9e-05  , 8.2e-05  , 3.5   , 5.4    , 21.609285875487   , -18.6855680411872  , -45.8245383056899
Tucana III        , 359.15  , -59.6   , -2.5e-05  , -0.001661 , -0.401 , -102.3 , 4e-05                , 23.04  , -0.902585284349861 , 0.430511096808295 , 4.9e-05  , 4.9e-05  , 0.4   , 2.304  , 1.64734696131912  , -9.78122315154255  , -20.7955649514208
Ursa Major I      , 158.685 , 51.926  , -0.000683 , -0.00072  , -0.1   , -55.3  , 1.02774922918808e-05 , 102.14 , 0.777365588363546  , 0.629049077599036 , 1e-04    , 0.000135 , 1.4   , 10.214 , -61.0820987940159 , 19.9293141142771   , 79.4001211954526
Ursa Major II     , 132.874 , 63.133  , 0.001691  , -0.001902 , -0.115 , -116.5 , 2.88184438040346e-05 , 40.85  , 0.518176290708807  , 0.855273834363745 , 6.4e-05  , 7.5e-05  , 1.9   , 4.085  , -32.5380605157813 , 12.7253290392812   , 21.1675014754548
Ursa Minor        , 227.242 , 67.222  , -0.000184 , 8.2e-05   , -0.387 , -246.9 , 1.31578947368421e-05 , 78.16  , 0.688354575693754  , 0.725374371012288 , 4.4e-05  , 4.2e-05  , 0.1   , 7.816  , -22.0250172609308 , 52.2422359416295   , 53.8017936362238
Willman 1         , 162.341 , 51.053  , 0.000199  , -0.001342 , -0.154 , -12.8  , 2.63157894736842e-05 , 42.54  , 0.744777599886878  , 0.667312765280826 , 0.000194 , 0.00037  , 1     , 4.254  , -27.3616548834589 , 7.56235073594623   , 31.6828390991878
