RA               , DEC                , PMra      , PMdec     , PMCorr , Vlos    , plx                  , Rgc   , Xgc                 , Ygc   , Zgc      , cosphi              , sinphi            , costheta            , sintheta             , ePMra    , ePMdec   , eVlos , eRgc  , Fullname   , Rsun  , cospsi
6.02333333333333 , -72.0812777777778  , 0.005237  , -0.002527 , -0.002 , -17.21  , 0.000222222222222222 , 7.4   , -6.1                , -2.6  , -3.1205  , -0.423003677841224  , 0.904816855650805 , -0.91992326464055   , -0.392098440666464   , 3.9e-05  , 3.9e-05  , 0.18  , 0.37  , NGC 104    , 4.5   , 0.165309005255255
13.1883333333333 , -26.5826111111111  , 0.00427   , -0.005637 , 0.018  , -44.83  , 0.000112359550561798 , 12    , -8.1                , 0     , -8.9205  , -0.738632908882704  , 0.672238939544933 , -1                  , 0                    , 5.4e-05  , 5.3e-05  , 0.13  , 0.6   , NGC 288    , 8.9   , 0.745363201076779
15.8091666666667 , -70.8487777777778  , 0.006725  , -0.002536 , -0.004 , 223.26  , 0.000116279069767442 , 9.4   , -4.9                , -5.1  , -6.2205  , -0.658254884729608  , 0.750886410859282 , -0.692826094197728  , -0.721104710287431   , 5.3e-05  , 5.3e-05  , 0.28  , 0.47  , NGC 362    , 8.6   , 0.608112195385948
30.7375          , -3.25277777777778  , -0.000234 , -0.001782 , -0.050 , -130.41 , 3.32225913621262e-05 , 34.5  , -21.9               , 4.7   , -26.3205 , -0.760971440458969  , 0.648089014358646 , -0.977737031624438  , 0.20983397482351     , 0.000115 , 9.4e-05  , 1.79  , 1.725 , Whiting 1  , 30.1  , 0.978506225504358
48.0675          , -55.2162222222222  , 0.001632  , -0.002037 , 0.009  , 71.36   , 6.13496932515337e-05 , 18.1  , -7.9                , -10   , -12.9205 , -0.710822759102686  , 0.702227766067566 , -0.61989867506062   , -0.784681867165342   , 5.8e-05  , 5.8e-05  , 0.24  , 0.905 , NGC 1261   , 16.3  , 0.897026708724536
53.3333333333333 , 79.5810555555556   , -0.000171 , 7e-05     , 0.003  , -75.41  , 9.00900900900901e-05 , 17.2  , -14.8               , 8.1   , 3.5795   , 0.208730616187166   , 0.978226105534879 , -0.877215145436055  , 0.480097478245409    , 7.4e-05  , 8.1e-05  , 0.21  , 0.86  , Pal 1      , 11.1  , 0.929838622852504
58.7595833333333 , -49.6152777777778  , 0.000397  , -0.000476 , -0.108 , 118     , 8.110300081103e-06   , 124.6 , -24.5               , -80.1 , -92.3205 , -0.740432529215931  , 0.671949486390442 , -0.292491498348337  , -0.956268123171501   , 0.000147 , 0.000198 , 14.14 , 6.23  , AM 1       , 123.3 , 0.997972085849089
66.1854166666667 , -21.1869444444445  , 0.000493  , -0.000402 , -0.133 , -23.79  , 1.10987791342952e-05 , 95    , -61.2               , -41.7 , -59.5205 , -0.626245712153789  , 0.779452382913532 , -0.826398713900925  , -0.563085398197199   , 8.4e-05  , 8.7e-05  , 1.07  , 4.75  , Eridanus   , 90.1  , 0.997663974516619
71.5245833333333 , 31.3815            , 0.001033  , -0.001557 , 0.009  , -135.97 , 3.67647058823529e-05 , 35    , -34.4               , 4.4   , -4.3205  , -0.123038735381876  , 0.99232896833278  , -0.991918924536442  , 0.126873350812801    , 7.5e-05  , 6.8e-05  , 1.55  , 1.75  , Pal 2      , 27.2  , 0.998340115414916
78.5279166666667 , -40.0465555555556  , 0.002115  , -0.000591 , -0.007 , 320.3   , 8.26446280991736e-05 , 16.6  , -12.2               , -8.9  , -6.9205  , -0.41537384621584   , 0.909086263444504 , -0.80787615975341   , -0.589352280475848   , 5.4e-05  , 5.5e-05  , 0.25  , 0.83  , NGC 1851   , 12.1  , 0.89109225268844
81.0458333333333 , -24.5247222222222  , 0.002466  , -0.001576 , -0.001 , 205.84  , 7.75193798449612e-05 , 18.8  , -15.7               , -8.3  , -6.3205  , -0.334214581275952  , 0.942110661462133 , -0.884061703771053  , -0.467370200082786   , 5.7e-05  , 5.8e-05  , 0.19  , 0.94  , NGC 1904   , 12.9  , 0.939818529915058
102.2475         , -36.0053055555556  , 0.003316  , -0.002186 , 0.001  , 146.18  , 9.25925925925926e-05 , 15.8  , -12.3               , -9.4  , -3.0205  , -0.190203833682486  , 0.981491918740826 , -0.79454115027117   , -0.607210309963333   , 6e-05    , 6.1e-05  , 0.71  , 0.79  , NGC 2298   , 10.8  , 0.885723100533287
114.535          , 38.8824444444444   , -1.1e-05  , -0.000557 , 0.010  , -20.67  , 1.21065375302663e-05 , 89.9  , -82.7               , -0.5  , 35.1795  , 0.391664250686526   , 0.920205270508752 , -0.999981723750095  , -0.00604583871674785 , 6.4e-05  , 6.1e-05  , 0.34  , 4.495 , NGC 2419   , 82.6  , 0.999278831453162
